"","Drehzahl","Stegbreite","Stabil"
"320",10000,10,FALSE
"321",10000,9.5,FALSE
"322",10000,9,TRUE
"323",10500,10.5,TRUE
"324",10500,11.5,TRUE
"325",10500,12.5,TRUE
"326",10500,13.5,TRUE
"327",10500,14.5,TRUE
"328",10500,15.5,TRUE
"329",10500,16.5,TRUE
"330",10500,17,TRUE
"331",10500,17.5,TRUE
"332",10500,18,FALSE
"333",9500,9,FALSE
"334",9500,8.5,FALSE
"335",9500,8,FALSE
"336",9500,7.5,TRUE
"337",9000,9,TRUE
"338",9000,10,TRUE
"339",9000,11,FALSE
"340",9000,10.5,FALSE
"341",8000,12,TRUE
"342",8000,14,TRUE
"343",8000,15,TRUE
"344",8000,15.5,FALSE
"345",9250,8.5,TRUE
"346",9250,9.5,FALSE
"347",9250,9,TRUE
"348",9750,8.5,TRUE
"349",9750,9,FALSE
"350",10250,11,TRUE
"351",10250,13,TRUE
"352",10250,13.5,TRUE
"353",10250,14,FALSE
"354",11000,15.5,FALSE
"355",11000,14.5,FALSE
"356",11000,13,FALSE
"357",11000,12,TRUE
"358",11000,12.5,TRUE
"359",10750,13,TRUE
"360",10750,14,TRUE
"361",10750,15,TRUE
"362",10750,16,FALSE
"363",10750,15.5,FALSE
"364",10000,9,TRUE
"365",10000,9.5,TRUE
"366",10000,10.5,FALSE
"367",10000,10,FALSE
"368",12000,9.5,TRUE
"369",12000,11.5,TRUE
"370",12000,13,TRUE
"371",12000,15,TRUE
"372",12000,16.5,TRUE
"373",12000,17.5,TRUE
"374",12000,19,TRUE
"375",12000,20,TRUE
"376",13000,11,TRUE
"377",13000,13,FALSE
"378",13000,12.5,TRUE
"379",14000,10,TRUE
"380",14000,11,FALSE
"381",14000,10.5,TRUE
"382",15000,10.5,TRUE
"383",15000,11.5,FALSE
"384",11500,13.5,TRUE
"385",11500,14.5,TRUE
"386",11500,15.5,TRUE
"387",11500,16.5,TRUE
"388",11500,17.5,FALSE
"389",11500,17,FALSE
"390",12500,14,TRUE
"391",12500,15,FALSE
"392",12500,14.5,TRUE
"393",13500,11.5,TRUE
"394",13500,12,FALSE
"395",16000,11.5,TRUE
"396",16000,13,TRUE
"397",16000,14.5,TRUE
"398",16000,15,TRUE
"399",16000,15.5,FALSE
"400",15500,11.5,TRUE
"401",15500,13,FALSE
"402",15500,12.5,TRUE
"403",15000,11,TRUE
"404",14500,10.5,TRUE
"405",14500,11,TRUE
"406",14500,11.5,FALSE
