"","Drehzahl","Stegbreite","Stabil"
"407",10000,12,TRUE
"408",10000,14,FALSE
"409",9500,15.5,TRUE
"410",9500,17,TRUE
"411",9500,18.5,TRUE
"412",9500,19,FALSE
"413",9000,11,TRUE
"414",9000,20,TRUE
"415",8000,10,TRUE
"416",8000,12,TRUE
"417",8000,14,TRUE
"418",8000,16,TRUE
"419",8000,18,TRUE
"420",8000,20,TRUE
"421",10500,10.5,TRUE
"422",10500,12.5,TRUE
"423",10500,14.5,TRUE
"424",10500,16,TRUE
"425",10500,17,TRUE
"426",10500,17.5,FALSE
"427",10250,15,FALSE
"428",10250,14.5,TRUE
"429",9750,15,FALSE
"430",9750,14.5,FALSE
"431",9750,14,TRUE
"432",11000,13,TRUE
"433",11000,14.5,TRUE
"434",11000,16,TRUE
"435",11000,17.5,TRUE
"436",11000,19,FALSE
"437",11000,18,FALSE
"438",11500,15,TRUE
"439",11500,16.5,TRUE
"440",11500,17,TRUE
"441",11500,17.5,FALSE
"442",12000,15,TRUE
"443",12000,16,TRUE
"444",12000,17,TRUE
"445",12000,18.5,TRUE
"446",12000,19.5,TRUE
"447",12000,20,TRUE
"448",13000,15,FALSE
"449",13000,14,FALSE
"450",13000,13,FALSE
"451",15500,19,TRUE
"452",14500,19.5,TRUE
"455",10000,7.5,TRUE
"456",10000,10,TRUE
"457",10000,13.5,TRUE
"458",9500,10,TRUE
"459",9500,12,TRUE
"460",9500,14,TRUE
"461",9000,13,TRUE
"462",9000,15,TRUE
"463",9000,16.5,TRUE
"464",9000,18,TRUE
"465",9000,19,TRUE
"466",13000,12.5,TRUE
"467",14000,11,TRUE
"468",14000,12,TRUE
"469",14000,12.5,TRUE
"470",14000,13.5,TRUE
"471",14000,14,TRUE
"472",14000,14.5,TRUE
"473",14000,14.5,TRUE
"474",14000,15.5,TRUE
"475",14000,16,TRUE
"476",14000,17,TRUE
"477",14000,18,TRUE
"478",14000,19,FALSE
"479",14000,18.5,FALSE
"480",15000,13,TRUE
"481",15000,15,TRUE
"482",15000,15.5,TRUE
"483",15000,17,TRUE
"484",15000,18.5,TRUE
"485",15000,20,TRUE
"486",16000,15,TRUE
"487",16000,17,TRUE
"488",16000,18.5,FALSE
"489",16000,18,FALSE
"490",16000,17.5,FALSE
"491",15500,18,TRUE
"492",15500,20,TRUE
"493",15750,18,TRUE
"494",15750,18.5,TRUE
"495",15750,19.5,FALSE
"496",15750,19,FALSE
"497",14500,18.5,TRUE
"498",14500,20,TRUE
"499",13500,13.5,FALSE
"500",13500,12.5,FALSE
"501",13500,11.5,FALSE
"502",13500,11,TRUE
"503",13750,13,TRUE
"504",13750,13.5,FALSE
"505",12500,14,TRUE
"506",12500,15.5,TRUE
"507",12500,16,TRUE
"508",12500,17,FALSE
"509",12500,16.5,FALSE
"510",10750,17.5,FALSE
"511",10750,16.5,FALSE
"512",10750,15.5,FALSE
"513",10750,14.5,FALSE
"514",10750,13.5,FALSE
"515",10750,12.5,TRUE
"516",10750,13,TRUE
"517",11000,16,FALSE
"518",11000,15,FALSE
"519",11000,14,FALSE
"520",11000,13,FALSE
"521",11000,12,TRUE
"522",11000,12.5,TRUE
"523",9500,16,FALSE
"524",9500,15,FALSE
"525",9500,14,TRUE
"526",9500,14.5,TRUE
"527",9000,17,TRUE
"528",9000,18.5,FALSE
"529",9000,17.5,FALSE
"706",9000,10,TRUE
"707",9000,12,TRUE
"708",9000,14,TRUE
"709",9000,15.5,TRUE
"710",9000,17,TRUE
"711",9000,17.5,TRUE
"712",9000,18,TRUE
"713",9000,18.5,TRUE
"714",9000,19.5,TRUE
"715",9000,20,FALSE
"716",9500,15,FALSE
"717",9500,14.5,FALSE
"718",9500,14,FALSE
"719",9500,13.5,FALSE
"720",9500,13,FALSE
"721",9500,12.5,FALSE
"722",9500,12,FALSE
"723",9500,10,TRUE
"724",9500,11,FALSE
"725",9500,10.5,FALSE
"726",10000,13.5,FALSE
"727",10000,12.5,FALSE
"728",10000,11.5,FALSE
"729",10000,10.5,TRUE
"730",10000,11,TRUE
"731",10500,16,FALSE
"732",10500,15,FALSE
"733",10500,14,TRUE
"734",10500,14.5,TRUE
"735",11000,12.5,TRUE
"736",11000,14,TRUE
"737",11000,15.5,TRUE
"738",11000,17,FALSE
"739",11000,16,FALSE
"740",11500,16,TRUE
"741",11500,17.5,TRUE
"742",11500,18.5,FALSE
"743",11500,18,FALSE
"744",12000,17.5,TRUE
"745",12000,18.5,TRUE
"746",12000,19.5,FALSE
"747",12000,19,TRUE
"748",12500,15,TRUE
"749",12500,16.5,FALSE
"750",12500,16,FALSE
"751",12500,15.5,FALSE
"752",13000,11.5,TRUE
"753",13000,13,TRUE
"754",13000,14.5,FALSE
"755",13000,13.5,FALSE
"756",13500,10,TRUE
"757",13500,11.5,TRUE
"758",13500,12.5,TRUE
"759",13500,13.5,TRUE
"760",13500,14.5,TRUE
"761",13500,15.5,FALSE
"762",13500,15,FALSE
"763",14000,17,FALSE
"764",14000,16,TRUE
"765",14000,16.5,FALSE
"766",14000,17,FALSE
"767",14500,17,TRUE
"768",14500,18.5,TRUE
"769",14500,19.5,TRUE
"770",14500,20,TRUE
"771",15000,17,TRUE
"772",15000,18.5,TRUE
"773",15000,19.5,TRUE
"774",15000,20,TRUE
"775",15500,17,TRUE
"776",15500,18,TRUE
"777",15500,19,TRUE
"778",15500,19.5,TRUE
"779",15500,20,TRUE
"780",16000,16,FALSE
"781",16000,15.5,TRUE
"782",8000,17,TRUE
"783",8000,18.5,FALSE
"784",8000,17.5,FALSE
"785",8500,17,TRUE
"786",8500,18.5,TRUE
"787",8500,19.5,FALSE
"788",8500,19,TRUE
"789",10750,15,TRUE
"790",10750,16.5,FALSE
"791",10750,15.5,FALSE
"792",9250,13.5,TRUE
"793",9250,15,FALSE
"794",9250,14,FALSE
"795",9500,10,TRUE
"796",9500,10.5,FALSE
"797",9500,11,FALSE
"798",9500,12,FALSE
"799",9500,12.5,FALSE
"800",9500,13,FALSE
"801",9500,13.5,FALSE
"802",9500,14,FALSE
