"","Date","ID","Druck","Kraft","HaltZeit","Temp","Dicke1","Dicke2","Dicke3","Dicke4","Dicke","Bieg","BiegSteif","maxKraft","BiegMax","Abst1","Abst2","Abst3","Abst4","kAbst.l","kAbst.k","Energ","FasSchH","Blase","Schmelz","DickeQuality","BiegQuality"
"1",2011-04-15,"201",15,430,3,190,3,3,3.3,3.3,3.15,7.57,660.501981505945,7530,21.18,265,135,150,135,41.5,27,NA,"stark","ja","gut",0,0
"2",2011-04-15,"198",15,430,2,190,3,3,3.3,3.3,3.15,8.03,622.66500622665,7180,20.54,265,135,150,135,41.5,27,NA,"stark","ja","gut",0,0
"18",2011-04-15,"197",15,430,2,190,3,3,3.3,3.3,3.15,7.91,632.111251580278,7690,23.96,265,135,148,132,41.5,27,NA,"stark","ja","gut",0,0
"20",2011-04-15,"204",15,430,1,180,3.05,3.05,3.3,3.3,3.175,7.09,705.218617771509,7620,24.83,262,130,145,132,40.5,26,NA,"stark","ja","gut",0,0
"22",2011-04-14,"193",15,430,1,190,3,3,3,3,3,7.15,699.300699300699,7930,19.69,265,135,148,130,41,26.5,NA,"tol","ja","gut",1,0
"23",2011-04-14,"195",15,430,1,190,3,3,3.3,3.3,3.15,7.12,702.247191011236,7740,24.49,262,130,145,130,41,26,NA,"stark","ja","gut",0,0
"24",2011-04-14,"196",15,430,2,190,3,3,3.4,3.4,3.2,7.67,651.890482398957,7290,22.46,262,135,148,132,41,26.5,NA,"stark","ja","gut",0,0
"25",2011-04-15,"200",15,430,3,190,3,3,3.3,3.3,3.15,7.73,646.830530401035,7360,20.55,265,135,148,135,41.5,27,NA,"stark","ja","gut",0,0
"26",2011-04-15,"203",15,430,3,190,3,3,3.3,3.3,3.15,7.42,673.854447439353,7460,22.22,265,135,148,135,41.5,27,NA,"stark","ja","gut",0,0
"27",2011-04-15,"205",15,430,1,180,3.05,3.05,3.3,3.3,3.175,6.98,716.332378223496,7510,24.84,260,130,145,130,40.5,26,NA,"stark","ja","gut",0,0
"30",2011-04-15,"210",15,430,2,180,3,3,3.4,3.4,3.2,10.81,462.534690101758,6170,24.86,260,127,145,122,40.5,25,NA,"stark","ja","gut",0,0
"31",2011-04-15,"212",15,430,2,180,3.1,3,3.3,3.4,3.2,7.21,693.481276005548,7620,24.7,265,130,145,132,41,26,NA,"stark","ja","gut",0,0
"32",2011-04-15,"213",15,430,3,180,3.1,3,3.3,3.4,3.2,7,714.285714285714,7410,17.78,262,135,148,135,41,26.5,NA,"stark","ja","gut",0,0
"33",2011-04-15,"215",15,430,3,180,3.05,3,3.35,3.35,3.1875,7.4,675.675675675676,7260,24.49,265,132,148,132,41,26.5,NA,"stark","ja","gut",0,0
"34",2011-04-15,"216",15,430,3,180,3,3,3.3,3.3,3.15,7.26,688.70523415978,7230,21.55,262,132,148,132,41,26.5,NA,"stark","ja","gut",0,0
"35",2011-04-15,"217",15,430,1,200,3,3,3.3,3.3,3.15,7.25,689.655172413793,7240,23.62,262,135,148,135,41,27,NA,"stark","ja","gut",0,0
"36",2011-04-15,"218",15,430,1,200,3,3,3.3,3.3,3.15,7.66,652.741514360313,7440,21.73,265,140,148,135,41,27,NA,"stark","nein","gut",0,0
"37",2011-04-18,"223",15,430,2,200,2.9,2.85,3.3,3.3,3.0875,8.86,564.334085778781,6960,23.73,268,138,152,135,41.5,27.5,NA,"stark","ja","gut",0,0
"41",2011-04-18,"224",15,430,2,200,2.9,2.85,3.3,3.35,3.1,7.85,636.942675159236,7420,22.54,268,140,150,132,41.5,27.5,NA,"stark","ja","gut",0,0
"42",2011-04-18,"225",15,430,2,200,2.9,2.95,3.3,3.35,3.125,7.96,628.140703517588,7280,20.28,268,140,150,135,41.5,27.5,NA,"stark","ja","gut",0,0
"43",2011-04-18,"226",15,430,3,200,2.9,2.95,3.35,3.3,3.125,8.14,614.250614250614,7260,21.42,265,140,152,135,41.7,27.5,NA,"stark","ja","gut",0,0
