"","P.ID","Rezept.ID","Mahlgrad","Mehlmenge","Nasspressen","Wassermenge","Preinfusion.Menge","Pause.Preinfusion","Pressdruck","Geschmack","Suesse","Saeure","Bitterkeit","Koerper","Nachgeschmack","Crema..Farbe","Crema..Festigkeit","Crema..Hoehe","Crema..Tigerung"
1,5,4,1,40,0,25,30,5,50,0,1,-1,1,1,1,-2,-2,-2,0
2,5,9,3.5,60,20,25,30,5,50,-1,NA,1,1,1,1,-2,-1,-1,0
3,5,10,3.5,60,0,25,30,5,50,-1,0,-1,-2,-1,0,-1,-1,-1,0
4,1,1,1,60,20,25,30,5,50,-1,-1,2,2,1,1,2,-3,-2,0
5,1,2,1,60,0,25,30,5,50,2,1,-2,-1,-1,-1,0,-1,-1,0
6,1,3,1,40,20,25,30,5,50,-3,-3,-3,-3,-3,-3,-2,-3,-2,0
7,1,4,1,40,0,25,30,5,50,-1,-1,-3,-3,-2,-2,-3,-3,-3,0
8,1,17,2,50,0,25,30,5,50,1,0,-1,-1,-2,-2,-1,-2,-2,0
9,2,1,1,60,20,25,30,5,50,-1,-1,0,1,0,1,-1,-2,-2,0
10,2,2,1,60,0,25,30,5,50,-2,-2,1,-3,0,2,-2,-2,-2,0
11,2,3,1,40,20,25,30,5,50,-1,0,1,1,-1,1,-1,-2,-2,0
12,2,4,1,40,0,25,30,5,50,0,0,0,1,0,0,-3,-2,-2,0
13,2,17,2,50,0,25,30,5,50,-1,0,-1,0,-1,0,-1,-2,-2,0
14,5,11,3.5,40,20,25,30,5,50,2,2,-2,-1,0,0,-3,-3,-2,0
15,3,1,1,60,20,25,30,5,50,-3,-1,1,3,3,2,0,-1,-1,0
16,3,2,1,60,0,25,30,5,50,-1,-2,2,0,-1,1,-2,-2,-3,-2
17,3,3,1,40,20,25,30,5,50,1,1,-2,-2,-1,-1,0,-3,-3,-3
18,3,4,1,40,0,25,30,5,50,-1,-1,0,-1,-1,0,-2,-3,-3,-3
