"","Drehzahl","Stegbreite","Stabil"
"1",12000,12.7,TRUE
"2",12000,13.3,TRUE
"3",10000,12.2,FALSE
"4",10000,12.7,FALSE
"5",10000,13.3,FALSE
"6",10000,13.8,FALSE
"7",11000,12.2,TRUE
"8",11000,12.7,TRUE
"9",11000,13.3,TRUE
"10",11000,13.8,TRUE
"11",13000,12.7,FALSE
"12",13000,13.3,FALSE
"13",13000,13.8,FALSE
"14",13000,10.7,TRUE
"15",13000,11.3,TRUE
"16",13000,11.8,TRUE
"17",12000,13.8,TRUE
"18",12000,14.7,TRUE
"19",12000,15.3,TRUE
"20",12000,15.8,TRUE
"21",12000,16.7,FALSE
"22",12000,17.3,FALSE
"23",12000,17.8,FALSE
"24",10000,10.7,FALSE
"25",10000,11.3,FALSE
"26",10000,11.8,FALSE
"27",10000,8.2,TRUE
"28",10000,8.7,TRUE
"29",10000,9.3,TRUE
"30",10000,9.8,TRUE
"31",11000,14.2,TRUE
"32",11000,14.7,TRUE
"33",11000,15.3,TRUE
"34",11000,15.8,TRUE
"35",11000,16.2,TRUE
"36",11000,16.7,TRUE
"37",11000,17.3,TRUE
"38",11000,17.8,TRUE
"39",11000,18.2,TRUE
"40",11000,18.7,TRUE
"41",11000,19.3,TRUE
"42",11000,19.8,TRUE
"43",14000,10.2,TRUE
"44",14000,10.7,TRUE
"45",14000,11.3,TRUE
"46",14000,11.8,TRUE
"47",14000,12.2,FALSE
"48",14000,12.7,FALSE
"49",14000,13.3,FALSE
"50",14000,13.8,FALSE
"51",15000,8.2,TRUE
"52",15000,8.7,TRUE
"53",15000,9.3,TRUE
"54",12000,16.2,FALSE
"55",12000,14.2,TRUE
"56",13000,10.2,TRUE
"57",13000,12.2,FALSE
"58",15000,9.8,TRUE
"59",15000,10.2,TRUE
"60",15000,10.7,TRUE
"61",15000,11.3,TRUE
"62",15000,11.8,TRUE
"63",15000,12.2,TRUE
"64",15000,12.7,TRUE
"65",15000,13.3,TRUE
"66",15000,13.8,TRUE
"67",15000,14.2,TRUE
"68",15000,14.7,TRUE
"69",15000,15.3,TRUE
"70",15000,15.8,TRUE
"71",15000,16.2,FALSE
"72",15000,16.7,FALSE
"73",15000,17.3,TRUE
"74",15000,17.8,TRUE
"75",15000,18.2,FALSE
"76",15000,18.7,FALSE
"77",15000,19.3,FALSE
"78",15000,19.8,TRUE
"79",8000,12.2,TRUE
"80",9500,8.2,FALSE
"81",9500,8.7,FALSE
"82",9500,9.3,FALSE
"83",9500,9.8,FALSE
"84",10500,10.2,FALSE
"85",10500,10.7,FALSE
"86",10500,11.3,FALSE
"87",10500,11.8,TRUE
"88",10500,8.2,TRUE
"89",10500,8.7,TRUE
"90",10500,9.3,TRUE
"91",10500,9.8,TRUE
"92",10750,10.2,TRUE
"93",10750,10.7,TRUE
"94",10750,11.3,TRUE
"95",10750,11.8,TRUE
"96",10750,12.2,TRUE
"97",10750,12.7,TRUE
"98",10750,13.3,TRUE
"99",10750,13.8,TRUE
"100",10750,14.2,TRUE
"101",10750,14.7,TRUE
"102",10750,15.3,TRUE
"103",10750,15.8,TRUE
"104",10750,16.2,TRUE
"105",10750,16.7,TRUE
"106",10750,17.3,TRUE
"107",10750,17.8,TRUE
"108",10750,18.2,TRUE
"109",10750,18.7,TRUE
"110",10750,19.3,TRUE
"111",10750,19.8,FALSE
"112",8000,12.7,TRUE
"113",8000,13.3,TRUE
"114",8000,13.8,TRUE
"115",8000,14.2,TRUE
"116",8000,14.7,FALSE
"117",8000,15.3,FALSE
"118",8000,15.8,FALSE
"119",17000,10.2,TRUE
"120",17000,10.7,TRUE
"121",17000,11.3,TRUE
"122",17000,11.8,TRUE
"123",17000,12.2,TRUE
"124",17000,12.7,TRUE
"125",17000,13.3,TRUE
"126",17000,13.8,TRUE
"127",17000,14.2,TRUE
"128",17000,14.7,TRUE
"129",17000,15.3,TRUE
"130",17000,15.8,TRUE
"131",17000,16.2,TRUE
"132",17000,16.7,TRUE
"133",17000,17.3,TRUE
"134",17000,17.8,TRUE
"135",17000,18.2,TRUE
"136",17000,18.7,FALSE
"188",17000,19.8,FALSE
"189",17000,19.3,FALSE
"233",10000,10,TRUE
"234",10000,10.5,TRUE
"235",10000,11,TRUE
"236",10000,11.5,TRUE
"237",10000,12,FALSE
"238",10500,11,TRUE
"239",10500,12,TRUE
"240",10500,13,TRUE
"241",10500,14,FALSE
"242",10500,13.5,FALSE
"243",9500,8,TRUE
"244",9500,9,TRUE
"245",9500,10,FALSE
"246",9500,9.5,TRUE
"247",9750,10.5,TRUE
"248",9750,11,FALSE
"249",10250,12.5,FALSE
"250",10250,12,TRUE
"251",9000,11,FALSE
"252",9000,10,TRUE
"253",9000,10.5,FALSE
"254",9250,9.5,TRUE
"255",9250,10.5,FALSE
"256",9250,10,FALSE
"257",8000,12.5,TRUE
"258",8000,13.5,TRUE
"259",8000,14.5,FALSE
"260",8000,14,TRUE
"261",11000,14.5,TRUE
"262",11000,15.5,TRUE
"263",11000,17,TRUE
"264",11000,18,FALSE
"265",11000,17.5,FALSE
"266",11000,17,FALSE
"267",12000,15,TRUE
"268",12000,16,FALSE
"269",13000,10,TRUE
"270",13000,11,TRUE
"271",13000,12,FALSE
"272",13000,11.5,FALSE
"273",13000,11,TRUE
"274",14000,10.5,TRUE
"275",14000,11.5,FALSE
"276",14000,11,FALSE
"277",15000,11.5,TRUE
"278",15000,12.5,TRUE
"279",15000,13.5,TRUE
"280",15000,15,FALSE
"281",15000,14.5,TRUE
"282",16000,13.5,TRUE
"283",16000,15.5,FALSE
"284",16000,15,FALSE
"285",16000,14.5,FALSE
"286",16000,14,FALSE
"287",16000,13.5,FALSE
"288",16000,13,TRUE
"289",15500,14,TRUE
"290",15500,15,TRUE
"291",15500,15.5,FALSE
"292",14500,11.5,TRUE
"293",14500,12.5,TRUE
"294",14500,13,FALSE
"295",13500,10.5,TRUE
"296",13500,11.5,FALSE
"297",13500,11,FALSE
"298",12500,12,TRUE
"299",12500,13,FALSE
"300",12500,12.5,TRUE
"301",11500,15.5,FALSE
"302",11500,15,FALSE
"303",11500,14.5,FALSE
"304",11500,14,FALSE
"305",11500,13.5,TRUE
"306",11000,15.5,TRUE
"307",11000,16.5,TRUE
"308",11000,17.5,FALSE
"309",11000,17,FALSE
"310",10750,14,TRUE
"311",10750,15,TRUE
"312",10750,16,FALSE
"313",10750,15.5,FALSE
"314",11250,15,FALSE
"315",11250,14.5,FALSE
"316",11250,13.5,FALSE
"317",11250,13,FALSE
"318",11250,12,TRUE
"319",11250,12.5,TRUE
"550",10000,10.2,FALSE
"551",12000,12.2,TRUE
