"","Drehzahl","Stegbreite","Stabil"
"454",10750,14.5,TRUE
"530",10000,13,FALSE
"531",10000,12,FALSE
"532",10000,11,TRUE
"533",10500,14,FALSE
"534",10000,11.5,TRUE
"535",9500,10,TRUE
"536",9500,11.5,TRUE
"537",9500,13,TRUE
"538",9500,14,TRUE
"539",9500,16,TRUE
"540",9500,17.5,FALSE
"541",9500,16.5,FALSE
"542",9000,18,TRUE
"543",9000,20,FALSE
"544",9000,19,FALSE
"545",9000,18.5,FALSE
"546",10500,13.5,TRUE
"547",10500,15,FALSE
"548",10750,16,FALSE
"549",10750,15,FALSE
"552",9500,13.5,TRUE
"553",10000,11.5,TRUE
"554",10000,12,FALSE
"555",9500,14,FALSE
"556",9750,12.5,FALSE
"557",9750,12,FALSE
"558",9750,11.5,FALSE
"559",9750,11,FALSE
"560",9750,10,TRUE
"561",9750,10.5,TRUE
"562",9000,16,TRUE
"563",9000,16.5,FALSE
"564",9000,17,FALSE
"565",8500,16,FALSE
"566",8500,15.5,FALSE
"567",8500,14.5,FALSE
"568",8500,13.5,FALSE
"569",8500,12.5,TRUE
"570",8500,13,TRUE
"571",8000,10,TRUE
"572",8000,11.5,TRUE
"573",8000,13,TRUE
"574",8000,14.5,TRUE
"575",8000,16,FALSE
"576",8000,15.5,TRUE
"577",8000,15,TRUE
"578",8500,13,TRUE
"579",8500,13.5,TRUE
"580",8500,14.5,FALSE
"581",8500,14,FALSE
"582",11000,14.5,TRUE
"583",11000,15.5,TRUE
"584",11000,16.5,TRUE
"585",11000,18,TRUE
"586",11000,20,FALSE
"587",11000,19,FALSE
"588",11000,18.5,FALSE
"589",11500,16,TRUE
"590",11500,17.5,TRUE
"591",11500,19,FALSE
"592",11500,18,FALSE
"593",12000,16.5,FALSE
"594",12000,15.5,FALSE
"595",12000,14.5,TRUE
"596",12000,15,TRUE
"597",13000,11,TRUE
"598",13000,12.5,TRUE
"599",13000,14,TRUE
"600",13000,15.5,FALSE
"601",13000,15,TRUE
"602",13000,16,TRUE
"603",13000,17,FALSE
"604",13000,16.5,FALSE
"605",14000,14,TRUE
"606",14000,15.5,TRUE
"607",14000,17,TRUE
"608",14000,18.5,TRUE
"609",14000,20,FALSE
"610",14000,19,FALSE
"611",15000,14,TRUE
"612",15000,15.5,TRUE
"613",15000,17,TRUE
"614",15000,18.5,FALSE
"615",15000,18,FALSE
"616",15000,17.5,FALSE
"617",16000,14.5,FALSE
"618",16000,13.5,TRUE
"619",16000,14,FALSE
"620",15500,15.5,FALSE
"621",15500,14.5,FALSE
"622",15500,13.5,TRUE
"623",15500,14,TRUE
"624",15250,14.5,TRUE
"625",15250,16,TRUE
"626",15250,16.5,FALSE
"627",14500,17.5,TRUE
"628",14500,18.5,FALSE
"629",14500,18,TRUE
"630",13500,16.5,TRUE
"631",13500,17.5,TRUE
"632",13500,18,FALSE
"633",13500,15.5,FALSE
"634",13500,14.5,TRUE
"635",13500,15,FALSE
"636",8000,15.5,TRUE
"637",8000,16,TRUE
"638",8000,17,FALSE
"639",8000,16.5,TRUE
"640",8500,13,TRUE
"641",8500,13.5,TRUE
"642",8500,14.5,FALSE
"643",8500,14,TRUE
"644",9000,17.5,FALSE
"645",9000,16.5,FALSE
"646",9000,15.5,TRUE
"647",9000,16,FALSE
"648",9500,13.5,TRUE
"649",9500,14.5,FALSE
"650",9500,14,FALSE
"651",9750,10.5,TRUE
"652",9750,11.5,FALSE
"653",9750,11,FALSE
"654",9750,11.5,FALSE
"655",9750,11,FALSE
"656",9750,10.5,FALSE
"657",9750,10,TRUE
"658",10500,13.5,FALSE
"659",10500,13,TRUE
"660",10750,14.5,TRUE
"661",10750,15.5,TRUE
"662",10750,16,FALSE
"663",11000,18,FALSE
"664",11000,17.5,FALSE
"665",11000,17,TRUE
"666",11500,17.5,TRUE
"667",11500,18,TRUE
"668",11500,18.5,TRUE
"669",11500,19,FALSE
"670",12000,15,FALSE
"671",12000,14.5,FALSE
"672",12000,14,TRUE
"673",12500,14.5,FALSE
"674",12500,14,FALSE
"675",12500,13.5,TRUE
"676",13000,15.5,FALSE
"677",13000,15,TRUE
"678",13500,17.5,TRUE
"679",13500,18,FALSE
"680",14000,18.5,FALSE
"681",14000,17.5,FALSE
"682",14000,17,TRUE
"683",14500,18,TRUE
"684",14500,18.5,FALSE
"685",15000,17,TRUE
"686",15000,17.5,FALSE
"687",15250,16,TRUE
"688",15250,16.5,TRUE
"689",15250,17,TRUE
"690",15250,17.5,FALSE
"691",15500,14,TRUE
"692",15500,14.5,FALSE
"693",16000,13.5,TRUE
"694",16000,14,FALSE
"695",10250,12,FALSE
"696",10250,11.5,FALSE
"697",10250,11,FALSE
"698",10250,10.5,FALSE
"699",10250,10,TRUE
"700",10250,10,TRUE
"701",10250,10.5,FALSE
"702",12000,14.5,TRUE
"703",12000,15,TRUE
"704",12000,15.5,FALSE
"705",10750,16,TRUE
